Brand,Model,Ext Color,Car Type,Boot Size,Papers,Kilometres counter,Motorisation,Motor Power,Gearbox type,Price,Age,Kilometres_per_year
Audi,A1,Noir,Citadine,335,1,85000,Essence,150,Automatique,6450000,3,28333
Mercedes,Classe E,Gris,Berline,540,1,62000,Diesel,220,Automatique,7950000,7,8857
Nissan,Sunny,Gris,Berline,490,1,375000,GPL,100,Manuelle,2150000,12,31250
BMW,Serie 5,Blanc,Berline,520,1,238000,Essence,272,Automatique,3150000,15,15866
Toyota,Aygo,Rouge,Citadine,168,1,78000,Essence,70,Automatique,2950000,5,15600
Seat,Leon,Noir,Compacte,380,1,108000,Diesel,143,Manuelle,6000000,7,15428
Opel,Astra,Blanc,Compacte,370,1,8500,Essence,130,Automatique,5300000,1,8500
Ford,Focus,Argent,Compacte,375,1,198000,Essence,182,Manuelle,2400000,12,16500
Jetour,Dashing,Blanc,SUV,486,1,10000,Essence,197,Automatique,7350000,1,10000
Fiat,Tipo,Noir,Berline,520,1,42000,Essence,110,Automatique,4550000,2,21000
Suzuki,Baleno,Blanc,Compacte,320,1,98000,Essence,90,Automatique,3750000,3,32666
Chevrolet,Spark,Noir,Citadine,170,1,85000,Essence,65,Manuelle,1150000,10,8500
DS,DS7,Argent,SUV,550,1,102000,Diesel,180,Automatique,7000000,4,25500
Porsche,Cayenne,Gris,SUV,772,1,85000,Essence,400,Automatique,13800000,14,6071
Volkswagen,Tiguan,Bleu,SUV,520,1,1420000,Diesel,150,Automatique,6850000,5,284000
Kia,Sportage,Argent,SUV,546,1,155000,Diesel,177,Automatique,5150000,7,22142
Dacia,Logan,Gris,Berline,510,1,375000,Essence,75,Manuelle,1450000,11,34090
Peugeot,3008,Blanc,SUV,520,1,4500,Essence,180,Automatique,8750000,1,4500
Skoda,Octavia,Gris,Berline,600,1,234000,Essence,143,Manuelle,4250000,7,33428
Hyundai,Elantra,Noir,Berline,458,1,10000,Essence,115,Automatique,3750000,1,10000
Renault,Kadjar,Noir,SUV,472,1,72000,Essence,140,Automatique,4750000,5,14400
Audi,Q7,Gris,SUV,770,1,165000,Essence,252,Automatique,6700000,9,18333
Mercedes,ML,Noir,SUV,570,1,278000,Diesel,204,Automatique,3250000,12,23166
Nissan,Sunny,Noir,Berline,490,1,35000,Essence,100,Automatique,3650000,2,17500
BMW,X6,Blanc,SUV,580,1,138000,Diesel,306,Automatique,5350000,12,11500
Toyota,Land Cruiser,Noir,SUV,621,1,520000,Diesel,131,Manuelle,4450000,19,27368
Seat,Ateca,Blanc,SUV,510,1,62000,Essence,150,Automatique,7050000,3,20666
Opel,Grandland,Bleu,SUV,514,1,2500,Essence,165,Automatique,6300000,1,2500
Ford,Kuga,Noir,SUV,412,1,3000,Essence,180,Manuelle,6650000,3,1000
Chery,QQ,Gris,Citadine,180,1,210000,Essence,38,Manuelle,1300000,12,17500
Fiat,500X,Vert,SUV,350,1,30000,Essence,140,Automatique,4950000,1,30000
Suzuki,Maruti,Blanc,Citadine,235,1,51000,Essence,45,Manuelle,1050000,16,3187
Chevrolet,Captiva,Rouge,SUV,477,1,235000,Diesel,184,Manuelle,1600000,10,23500
Citroen,Berlingo,Blanc,Monospace,700,1,5000,Diesel,180,Automatique,6700000,1,5000
Volkswagen,Golf,Bleu,Compacte,380,1,35000,Essence,140,Manuelle,2250000,16,2187
Kia,Rio,Noir,Citadine,325,1,178000,Diesel,112,Manuelle,2250000,15,11866
Peugeot,206,Gris,Citadine,245,1,265000,Essence,60,Manuelle,1800000,13,20384
Renault,Clio,Bleu,Citadine,391,1,452000,GPL,75,Manuelle,1350000,19,23789
Dacia,Logan,Rouge,Berline,510,1,325000,GPL,75,Manuelle,2150000,9,36111
Fiat,Tipo,Blanc,Compacte,440,1,50000,Essence,100,Manuelle,3550000,4,12500
Opel,Corsa,Blanc,Citadine,309,1,78000,Essence,70,Manuelle,3050000,4,19500
Ford,Ranger,Noir,Pickup,1500,1,225000,Diesel,125,Manuelle,2300000,9,25000
Toyota,Yaris,Noir,Citadine,286,1,285000,Essence,87,Manuelle,2650000,16,17812
Volkswagen,Polo,Argent,Citadine,280,1,285000,Diesel,80,Manuelle,1950000,18,15833
Hyundai,i10,Blanc,Citadine,252,1,188000,Essence,87,Manuelle,3150000,8,23500
Skoda,Fabia,Rouge,Citadine,330,1,152000,Diesel,90,Manuelle,3450000,6,25333
Nissan,Micra,Gris,Citadine,300,1,215000,Essence,75,Manuelle,1750000,13,16538
Suzuki,Swift,Noir,Citadine,265,1,78000,Essence,85,Automatique,3250000,4,19500
Citroen,C3,Rouge,Citadine,300,1,338000,Essence,70,Manuelle,1900000,13,26000
Peugeot,307,Noir,Compacte,420,1,330000,Diesel,90,Manuelle,2200000,20,16500
Renault,Megane,Blanc,Compacte,384,1,485000,Diesel,85,Manuelle,1000000,19,25526
Volkswagen,Passat,Gris,Berline,586,1,235000,Diesel,102,Manuelle,2300000,21,11190
Opel,Astra,Gris,Compacte,370,1,5500,Essence,130,Automatique,6100000,1,5500
Ford,Fiesta,Noir,Citadine,292,1,52000,Essence,145,Manuelle,3950000,4,13000
Toyota,Corolla,Gris,Berline,450,1,375000,Diesel,130,Manuelle,1950000,16,23437
Kia,Picanto,Blanc,Citadine,255,1,438000,Essence,60,Manuelle,1800000,15,29200
Hyundai,Accent,Rouge,Compacte,388,1,115000,Diesel,128,Manuelle,2950000,7,16428
Dacia,Sandero,Noir,Citadine,320,1,6500,Essence,65,Manuelle,3050000,5,1300
Fiat,Doblo,Gris,Utilitaire,3800,1,95000,Essence,92,Manuelle,3400000,3,31666
BMW,Serie 3,Blanc,Berline,480,1,35000,Diesel,200,Automatique,12700000,2,17500
Mercedes,Classe C,Argent,Berline,455,1,102000,Diesel,204,Automatique,3450000,11,9272
Audi,Q5,Blanc,SUV,550,1,158000,Diesel,170,Automatique,5050000,4,39500
Volkswagen,Golf,Vert,Compacte,380,1,82000,Essence,110,Manuelle,3150000,8,10250
Kia,Sportage,Bleu,SUV,546,1,62000,Diesel,180,Automatique,7350000,3,20666
Peugeot,207,Noir,Citadine,385,1,272000,GPL,75,Manuelle,2250000,13,20923
Renault,Captur,Argent,SUV,422,1,40000,Diesel,140,Manuelle,5500000,3,13333
Hyundai,Tucson,Noir,SUV,488,1,6000,Diesel,136,Automatique,8150000,1,6000
Skoda,Rapid,Gris,Berline,415,1,138000,GPL,110,Manuelle,4100000,6,23000
Nissan,Qashqai,Blanc,SUV,430,1,200,Essence,140,Manuelle,5350000,2,100
Toyota,RAV4,Gris,SUV,542,1,235000,Diesel,150,Manuelle,2500000,15,15666
Seat,Leon,Bleu,Compacte,380,1,142000,Diesel,150,Automatique,5750000,5,28400
Ford,Focus,Rouge,Compacte,375,1,242000,Essence,105,Automatique,2550000,12,20166
Opel,Mokka,Blanc,SUV,350,1,16000,Essence,130,Automatique,5100000,2,8000
Volkswagen,Arteon,Noir,Berline,563,1,25000,Essence,190,Automatique,7700000,2,12500
Audi,Q2,Gris,SUV,405,1,102000,Diesel,143,Automatique,6250000,5,20400
BMW,X4,Noir,SUV,525,1,82000,Diesel,190,Automatique,11800000,4,20500
Mercedes,ML,Gris,SUV,570,1,115000,Diesel,204,Automatique,4450000,13,8846
Hyundai,i30,Rouge,Compacte,395,1,88000,Essence,120,Manuelle,4050000,4,22000
Peugeot,208,Noir,Citadine,311,1,87000,Essence,82,Manuelle,5300000,4,21750
Renault,Clio,Bleu,Citadine,391,1,22000,Diesel,100,Manuelle,5650000,2,11000
Skoda,Karoq,Gris,SUV,521,1,18000,Essence,150,Automatique,8050000,4,4500
Kia,Rio,Argent,Citadine,325,1,142000,Essence,100,Manuelle,3450000,6,23666
Dacia,Duster,Rouge,SUV,445,1,98000,Diesel,105,Automatique,4550000,3,32666
Toyota,Corolla,Argent,Berline,470,1,4500,Essence,140,Automatique,5350000,1,4500
Seat,Ateca,Rouge,SUV,510,1,170000,Diesel,143,Automatique,5650000,7,24285
Ford,Ranger,Gris,Pickup,1500,1,56000,Diesel,205,Automatique,7850000,4,14000
Chery,Tiggo 4 Pro,Gris,SUV,420,1,18000,Essence,113,Manuelle,4150000,1,18000
Fiat,500X,Noir,SUV,350,1,10000,Essence,140,Automatique,5300000,1,10000
Suzuki,Vitara,Gris,SUV,375,1,118000,Diesel,129,Automatique,3400000,10,11800
Chery,Tiggo 2 Pro,Blanc,SUV,420,1,32000,Essence,102,Automatique,3550000,2,16000
Mitsubishi,Outlander,Blanc,SUV,477,1,275000,Diesel,140,Manuelle,2150000,18,15277
Citroen,C3,Noir,Citadine,258,1,106000,Essence,110,Manuelle,3600000,4,26500
Porsche,Macan,Blanc,SUV,500,1,30000,Essence,252,Automatique,14800000,7,4285
Cupra,Formentor,Blanc,SUV,450,1,87000,Essence,150,Automatique,6450000,4,21750
Volkswagen,T-Cross,Gris,SUV,385,1,27000,Essence,110,Automatique,5150000,3,9000
Kia,Sorento,Argent,SUV,616,1,256000,Diesel,170,Automatique,2600000,15,17066
Dacia,Jogger,Noir,Monospace,565,1,72000,Essence,100,Manuelle,4550000,4,18000
Citroen,C Elysee,Gris,Berline,506,1,88000,Essence,72,Manuelle,2850000,13,6769
Skoda,Kamiq,Noir,SUV,400,1,10000,Essence,150,Automatique,5550000,1,10000
Hyundai,Accent,Blanc,Compacte,388,1,108000,Essence,100,Manuelle,3050000,9,12000
Renault,Symbol,Rouge,Berline,450,1,170000,Essence,80,Manuelle,2950000,11,15454
Audi,A3,Noir,Compacte,380,1,102000,Diesel,150,Automatique,6350000,8,12750
Mercedes,Classe C,Bleu,Berline,455,1,2200,Diesel,194,Automatique,13200000,1,2200
BMW,Serie 1,Noir,Compacte,360,1,5000,Essence,136,Automatique,13800000,1,5000
Toyota,Yaris,Blanc,Citadine,286,1,175000,Essence,100,Manuelle,3350000,11,15909
Seat,Arona,Noir,SUV,400,1,68000,Essence,110,Automatique,4300000,7,9714
Opel,Insignia,Rouge,Berline,490,1,108000,Diesel,160,Automatique,3600000,11,9818
Ford,Puma,Blanc,SUV,456,1,27000,Essence,125,Manuelle,4550000,3,9000
Geely,Coolray,Argent,SUV,420,1,23000,Essence,177,Automatique,5450000,2,11500
Fiat,500,Vert,Citadine,185,1,20000,Essence,70,Manuelle,260000,9,2222
Suzuki,Celerio,Blanc,Citadine,254,1,120000,Essence,68,Automatique,1950000,13,9230
Chevrolet,Spark,Rouge,Citadine,170,1,295000,Essence,68,Manuelle,1450000,13,22692
Mitsubishi,L200,Gris,Pickup,1100,1,142000,Diesel,150,Automatique,5400000,5,28400
Citroen,C5 Aircross,Noir,SUV,550,1,5000,Essence,180,Automatique,5950000,1,5000
Porsche,Cayenne,Argent,SUV,772,1,195000,Diesel,265,Automatique,6150000,11,17727
Volkswagen,Golf,Blanc,Compacte,380,1,92000,Diesel,110,Manuelle,3100000,6,15333
Kia,Carens,Gris,Monospace,492,1,134000,Diesel,130,Manuelle,2980000,8,16750
Dacia,Sandero Stepway,Noir,SUV,320,1,88000,Diesel,90,Manuelle,3250000,5,17600
Peugeot,5008,Argent,SUV,680,0,42000,Essence,180,Automatique,7200000,2,21000
Skoda,Kodiaq,Noir,SUV,630,1,62000,Diesel,200,Automatique,8800000,4,15500
Hyundai,Creta,Gris,SUV,402,1,8500,Essence,128,Automatique,5850000,1,8500
Renault,Megane,Blanc,Compacte,384,1,115000,Diesel,110,Manuelle,3300000,8,14375
Audi,Q5,Gris,SUV,550,1,78000,Diesel,204,Automatique,9200000,4,19500
Mercedes,GLA,Blanc,SUV,435,1,68000,Diesel,204,Automatique,8650000,6,11333
Nissan,Juke,Noir,SUV,422,1,45000,Essence,117,Manuelle,5050000,2,22500
BMW,X5,Argent,SUV,645,1,162000,Diesel,230,Automatique,3850000,9,18000
Toyota,RAV4,Gris,SUV,542,1,178000,Essence,170,Automatique,3950000,10,17800
Seat,Ateca,Blanc,SUV,510,1,58000,Essence,150,Manuelle,5950000,2,29000
Opel,Mokka,Bleu,SUV,350,1,42000,Essence,130,Automatique,4800000,3,14000
Ford,Kuga,Gris,SUV,412,1,86000,Diesel,120,Automatique,5100000,6,14333
Geely,Coolray,Noir,SUV,420,1,42000,Essence,177,Automatique,5050000,2,21000
Fiat,Tipo,Rouge,Berline,520,1,25000,Essence,110,Automatique,4600000,2,12500
Suzuki,Baleno,Noir,Compacte,320,1,18000,Essence,90,Automatique,4100000,1,18000
Chevrolet,Aveo,Gris,Compacte,370,1,420000,Essence,85,Manuelle,1980000,13,32307
Citroen,C4,Blanc,Compacte,380,1,112000,Essence,120,Manuelle,2600000,8,14000
Land Rover,Evoque,Argent,SUV,472,1,345000,Diesel,192,Automatique,3350000,11,31363
DS,DS7,Blanc,SUV,550,1,102000,Diesel,130,Automatique,6200000,4,25500
Cupra,Formentor,Gris,SUV,450,1,25000,Essence,150,Automatique,8650000,2,12500
Volkswagen,T-Cross,Rouge,SUV,385,1,31000,Essence,110,Automatique,5150000,3,10333
Kia,Seltos,Noir,SUV,392,1,12000,Essence,115,Automatique,4050000,1,12000
Dacia,Jogger,Gris,Monospace,565,1,28000,Essence,100,Manuelle,4350000,2,14000
Peugeot,2008,Noir,SUV,434,1,56000,Essence,115,Automatique,4700000,6,9333
Skoda,Kamiq,Gris,SUV,400,1,15000,Essence,115,Automatique,6550000,1,15000
Hyundai,Santa Fe,Noir,SUV,571,1,148000,Diesel,197,Automatique,5250000,9,16444
Renault,Arkana,Blanc,SUV,480,1,89000,Essence,140,Automatique,5150000,3,29666
Audi,A4,Blanc,Berline,480,1,485000,Diesel,140,Manuelle,1900000,15,32333
Mercedes,Classe A,Gris,Compacte,370,1,178000,Diesel,156,Automatique,3400000,8,22250
Nissan,Patrol,Noir,SUV,468,1,102000,Diesel,158,Manuelle,3450000,16,6375
BMW,X3,Blanc,SUV,550,1,255000,Diesel,177,Manuelle,2950000,16,15937
Toyota,Hilux,Blanc,Pickup,1500,1,450000,Diesel,120,Manuelle,4700000,10,45000
Seat,Leon,Argent,Compacte,380,1,92000,Diesel,143,Manuelle,4700000,10,9200
Opel,Grandland,Gris,SUV,514,1,42000,Essence,165,Automatique,5450000,3,14000
Ford,Focus,Gris,Compacte,375,1,345000,Essence,100,Manuelle,1650000,16,21562
Jetour,X70 Plus,Noir,SUV,600,1,5000,Essence,197,Automatique,8950000,1,5000
Fiat,500X,Rouge,SUV,350,1,32000,Essence,140,Automatique,4650000,1,32000
Suzuki,Celerio,Noir,Citadine,254,1,286000,Essence,68,Manuelle,165000,14,20428
Chevrolet,Captiva,Gris,SUV,477,1,42000,Essence,150,Automatique,4350000,4,10500
Land Rover,Discovery,Blanc,SUV,550,1,96000,Diesel,180,Automatique,5900000,8,12000
Volkswagen,Polo,Bleu,Citadine,280,1,64000,Essence,90,Manuelle,3800000,7,9142
Kia,Sorento,Gris,SUV,616,1,61000,Diesel,200,Automatique,7300000,9,6777
Dacia,Lodgy,Noir,Monospace,827,1,35000,Diesel,90,Manuelle,4450000,5,7000
Peugeot,Rifter,Blanc,Utilitaire,3300,1,2000,Diesel,92,Manuelle,7650000,1,2000
Skoda,Scala,Gris,Compacte,467,1,51000,Essence,115,Automatique,3950000,6,8500
Hyundai,Accent,Bleu,Compacte,388,1,620000,Essence,100,Manuelle,2150000,19,32631
Renault,Symbol,Noir,Berline,450,1,51000,Essence,80,Manuelle,3500000,7,7285
Audi,Q3,Blanc,SUV,450,1,189000,Diesel,177,Automatique,7050000,6,31500
Mercedes,GLC,Noir,SUV,550,1,142000,Diesel,170,Automatique,6850000,8,17750
Nissan,Navara,Gris,Pickup,1100,1,286000,Diesel,171,Manuelle,2450000,13,22000
BMW,Serie 1,Blanc,Compacte,360,1,102000,Essence,136,Automatique,6050000,4,25500
Toyota,Yaris,Bleu,Citadine,286,1,345000,GPL,86,Manuelle,1850000,20,17250
Seat,Arona,Gris,SUV,400,1,29000,Essence,110,Automatique,4050000,4,7250
Opel,Insignia,Blanc,Berline,490,1,245000,Diesel,130,Automatique,2450000,12,20416
Ford,Puma,Noir,SUV,456,1,36000,Essence,125,Manuelle,4400000,3,12000
Geely,Coolray,Bleu,SUV,420,1,45000,Essence,177,Automatique,5250000,2,22500
Fiat,500,Noir,Citadine,185,1,158000,Essence,70,Manuelle,2400000,9,17555
Suzuki,Swift,Blanc,Citadine,265,1,345000,GPL,85,Manuelle,2200000,12,28750
Chevrolet,Sail,Gris,Compacte,370,1,255000,Essence,97,Manuelle,1700000,12,21250
Mitsubishi,L200,Noir,Pickup,1100,1,125000,Diesel,150,Manuelle,5200000,5,25000
Land Rover,Range Rover,Gris,SUV,550,1,95000,Diesel,211,Automatique,5300000,8,11875
Volkswagen,Golf,Gris,Compacte,380,1,142000,Diesel,110,Manuelle,3350000,8,17750
Kia,Picanto,Bleu,Citadine,255,1,152000,Essence,65,Automatique,3500000,8,19000
Dacia,Sandero Stepway,Blanc,SUV,320,1,18000,Essence,110,Manuelle,5300000,1,18000
Peugeot,208,Rouge,Citadine,311,1,168000,Essence,92,Manuelle,3450000,8,21000
Skoda,Fabia,Bleu,Citadine,330,1,245000,Essence,65,Manuelle,2550000,10,24500
Hyundai,i20,Blanc,Citadine,326,1,18000,Essence,100,Automatique,4700000,1,18000
Renault,Clio,Argent,Citadine,391,1,102000,Diesel,85,Manuelle,3700000,6,17000
Audi,A1,Noir,Citadine,335,1,85000,Essence,150,Automatique,6450000,3,28333
Mercedes,Classe E,Gris,Berline,540,1,62000,Diesel,220,Automatique,7950000,7,8857
Nissan,Sunny,Gris,Berline,490,1,375000,GPL,100,Manuelle,2150000,12,31250
BMW,Serie 5,Blanc,Berline,520,1,238000,Essence,272,Automatique,3150000,15,15866
Toyota,Aygo,Rouge,Citadine,168,1,78000,Essence,70,Automatique,2950000,5,15600
Seat,Leon,Noir,Compacte,380,1,108000,Diesel,143,Manuelle,6000000,7,15428
Opel,Astra,Blanc,Compacte,370,1,8500,Essence,130,Automatique,5300000,1,8500
Ford,Focus,Argent,Compacte,375,1,198000,Essence,182,Manuelle,2400000,12,16500
Jetour,Dashing,Blanc,SUV,486,1,10000,Essence,197,Automatique,7350000,1,10000
Fiat,Tipo,Noir,Berline,520,1,42000,Essence,110,Automatique,4550000,2,21000
Suzuki,Baleno,Blanc,Compacte,320,1,98000,Essence,90,Automatique,3750000,3,32666
Chevrolet,Spark,Noir,Citadine,170,1,85000,Essence,65,Manuelle,1150000,10,8500
DS,DS7,Argent,SUV,550,1,102000,Diesel,180,Automatique,7000000,4,25500
Porsche,Cayenne,Gris,SUV,772,1,85000,Essence,400,Automatique,13800000,14,6071
Volkswagen,Tiguan,Bleu,SUV,520,1,1420000,Diesel,150,Automatique,6850000,5,284000
Kia,Sportage,Argent,SUV,546,1,155000,Diesel,177,Automatique,5150000,7,22142
Dacia,Logan,Gris,Berline,510,1,375000,Essence,75,Manuelle,1450000,11,34090
Peugeot,3008,Blanc,SUV,520,1,4500,Essence,180,Automatique,8750000,1,4500
Skoda,Octavia,Gris,Berline,600,1,234000,Essence,143,Manuelle,4250000,7,33428
Hyundai,Elantra,Noir,Berline,458,1,10000,Essence,115,Automatique,3750000,1,10000
Renault,Kadjar,Noir,SUV,472,1,72000,Essence,140,Automatique,4750000,5,14400
Audi,Q7,Gris,SUV,770,1,165000,Essence,252,Automatique,6700000,9,18333
Mercedes,ML,Noir,SUV,570,1,278000,Diesel,204,Automatique,3250000,12,23166
Nissan,Sunny,Noir,Berline,490,1,35000,Essence,100,Automatique,3650000,2,17500
BMW,X6,Blanc,SUV,580,1,138000,Diesel,306,Automatique,5350000,12,11500
Toyota,Land Cruiser,Noir,SUV,621,1,520000,Diesel,131,Manuelle,4450000,19,27368
Seat,Ateca,Blanc,SUV,510,1,62000,Essence,150,Automatique,7050000,3,20666
Opel,Grandland,Bleu,SUV,514,1,2500,Essence,165,Automatique,6300000,1,2500
Ford,Kuga,Noir,SUV,412,1,3000,Essence,180,Manuelle,6650000,3,1000
Chery,QQ,Gris,Citadine,180,1,210000,Essence,38,Manuelle,1300000,12,17500
Fiat,500X,Vert,SUV,350,1,30000,Essence,140,Automatique,4950000,1,30000
Suzuki,Maruti,Blanc,Citadine,235,1,51000,Essence,45,Manuelle,1050000,16,3187
Chevrolet,Captiva,Rouge,SUV,477,1,235000,Diesel,184,Manuelle,1600000,10,23500
Citroen,Berlingo,Blanc,Monospace,700,1,5000,Diesel,180,Automatique,6700000,1,5000
Volkswagen,Golf,Bleu,Compacte,380,1,35000,Essence,140,Manuelle,2250000,16,2187
Kia,Rio,Noir,Citadine,325,1,178000,Diesel,112,Manuelle,2250000,15,11866
Peugeot,206,Gris,Citadine,245,1,265000,Essence,60,Manuelle,1800000,13,20384
Renault,Clio,Bleu,Citadine,391,1,452000,GPL,75,Manuelle,1350000,19,23789
Dacia,Logan,Rouge,Berline,510,1,325000,GPL,75,Manuelle,2150000,9,36111
Fiat,Tipo,Blanc,Compacte,440,1,50000,Essence,100,Manuelle,3550000,4,12500
Opel,Corsa,Blanc,Citadine,309,1,78000,Essence,70,Manuelle,3050000,4,19500
Ford,Ranger,Noir,Pickup,1500,1,225000,Diesel,125,Manuelle,2300000,9,25000
Toyota,Yaris,Noir,Citadine,286,1,285000,Essence,87,Manuelle,2650000,16,17812
Volkswagen,Polo,Argent,Citadine,280,1,285000,Diesel,80,Manuelle,1950000,18,15833
Hyundai,i10,Blanc,Citadine,252,1,188000,Essence,87,Manuelle,3150000,8,23500
Skoda,Fabia,Rouge,Citadine,330,1,152000,Diesel,90,Manuelle,3450000,6,25333
Nissan,Micra,Gris,Citadine,300,1,215000,Essence,75,Manuelle,1750000,13,16538
Suzuki,Swift,Noir,Citadine,265,1,78000,Essence,85,Automatique,3250000,4,19500
Citroen,C3,Rouge,Citadine,300,1,338000,Essence,70,Manuelle,1900000,13,26000
Peugeot,307,Noir,Compacte,420,1,330000,Diesel,90,Manuelle,2200000,20,16500
Renault,Megane,Blanc,Compacte,384,1,485000,Diesel,85,Manuelle,1000000,19,25526
Volkswagen,Passat,Gris,Berline,586,1,235000,Diesel,102,Manuelle,2300000,21,11190
Opel,Astra,Gris,Compacte,370,1,5500,Essence,130,Automatique,6100000,1,5500
Ford,Fiesta,Noir,Citadine,292,1,52000,Essence,145,Manuelle,3950000,4,13000
Toyota,Corolla,Gris,Berline,450,1,375000,Diesel,130,Manuelle,1950000,16,23437
Kia,Picanto,Blanc,Citadine,255,1,438000,Essence,60,Manuelle,1800000,15,29200
Hyundai,Accent,Rouge,Compacte,388,1,115000,Diesel,128,Manuelle,2950000,7,16428
Dacia,Sandero,Noir,Citadine,320,1,6500,Essence,65,Manuelle,3050000,5,1300
Fiat,Doblo,Gris,Utilitaire,3800,1,95000,Essence,92,Manuelle,3400000,3,31666
BMW,Serie 3,Blanc,Berline,480,1,35000,Diesel,200,Automatique,12700000,2,17500
Mercedes,Classe C,Argent,Berline,455,1,102000,Diesel,204,Automatique,3450000,11,9272
Audi,Q5,Blanc,SUV,550,1,158000,Diesel,170,Automatique,5050000,4,39500
Volkswagen,Golf,Vert,Compacte,380,1,82000,Essence,110,Manuelle,3150000,8,10250
Kia,Sportage,Bleu,SUV,546,1,62000,Diesel,180,Automatique,7350000,3,20666
Peugeot,207,Noir,Citadine,385,1,272000,GPL,75,Manuelle,2250000,13,20923
Renault,Captur,Argent,SUV,422,1,40000,Diesel,140,Manuelle,5500000,3,13333
Hyundai,Tucson,Noir,SUV,488,1,6000,Diesel,136,Automatique,8150000,1,6000
Skoda,Rapid,Gris,Berline,415,1,138000,GPL,110,Manuelle,4100000,6,23000
Nissan,Qashqai,Blanc,SUV,430,1,200,Essence,140,Manuelle,5350000,2,100
Toyota,RAV4,Gris,SUV,542,1,235000,Diesel,150,Manuelle,2500000,15,15666
Seat,Leon,Bleu,Compacte,380,1,142000,Diesel,150,Automatique,5750000,5,28400
Ford,Focus,Rouge,Compacte,375,1,242000,Essence,105,Automatique,2550000,12,20166
Opel,Mokka,Blanc,SUV,350,1,16000,Essence,130,Automatique,5100000,2,8000
Volkswagen,Arteon,Noir,Berline,563,1,25000,Essence,190,Automatique,7700000,2,12500
Audi,Q2,Gris,SUV,405,1,102000,Diesel,143,Automatique,6250000,5,20400
BMW,X4,Noir,SUV,525,1,82000,Diesel,190,Automatique,11800000,4,20500
Mercedes,ML,Gris,SUV,570,1,115000,Diesel,204,Automatique,4450000,13,8846
Hyundai,i30,Rouge,Compacte,395,1,88000,Essence,120,Manuelle,4050000,4,22000
Peugeot,208,Noir,Citadine,311,1,87000,Essence,82,Manuelle,5300000,4,21750
Renault,Clio,Bleu,Citadine,391,1,22000,Diesel,100,Manuelle,5650000,2,11000
Skoda,Karoq,Gris,SUV,521,1,18000,Essence,150,Automatique,8050000,4,4500
Kia,Rio,Argent,Citadine,325,1,142000,Essence,100,Manuelle,3450000,6,23666
Dacia,Duster,Rouge,SUV,445,1,98000,Diesel,105,Automatique,4550000,3,32666
Toyota,Corolla,Argent,Berline,470,1,4500,Essence,140,Automatique,5350000,1,4500
Seat,Ateca,Rouge,SUV,510,1,170000,Diesel,143,Automatique,5650000,7,24285
Ford,Ranger,Gris,Pickup,1500,1,56000,Diesel,205,Automatique,7850000,4,14000
Chery,Tiggo 4 Pro,Gris,SUV,420,1,18000,Essence,113,Manuelle,4150000,1,18000
Fiat,500X,Noir,SUV,350,1,10000,Essence,140,Automatique,5300000,1,10000
Suzuki,Vitara,Gris,SUV,375,1,118000,Diesel,129,Automatique,3400000,10,11800
Chery,Tiggo 2 Pro,Blanc,SUV,420,1,32000,Essence,102,Automatique,3550000,2,16000
Mitsubishi,Outlander,Blanc,SUV,477,1,275000,Diesel,140,Manuelle,2150000,18,15277
Citroen,C3,Noir,Citadine,258,1,106000,Essence,110,Manuelle,3600000,4,26500
Porsche,Macan,Blanc,SUV,500,1,30000,Essence,252,Automatique,14800000,7,4285
Cupra,Formentor,Blanc,SUV,450,1,87000,Essence,150,Automatique,6450000,4,21750
Volkswagen,T-Cross,Gris,SUV,385,1,27000,Essence,110,Automatique,5150000,3,9000
Kia,Sorento,Argent,SUV,616,1,256000,Diesel,170,Automatique,2600000,15,17066
Dacia,Jogger,Noir,Monospace,565,1,72000,Essence,100,Manuelle,4550000,4,18000
Citroen,C Elysee,Gris,Berline,506,1,88000,Essence,72,Manuelle,2850000,13,6769
Skoda,Kamiq,Noir,SUV,400,1,10000,Essence,150,Automatique,5550000,1,10000
Hyundai,Accent,Blanc,Compacte,388,1,108000,Essence,100,Manuelle,3050000,9,12000
Renault,Symbol,Rouge,Berline,450,1,170000,Essence,80,Manuelle,2950000,11,15454
Audi,A3,Noir,Compacte,380,1,102000,Diesel,150,Automatique,6350000,8,12750
Mercedes,Classe C,Bleu,Berline,455,1,2200,Diesel,194,Automatique,13200000,1,2200
BMW,Serie 1,Noir,Compacte,360,1,5000,Essence,136,Automatique,13800000,1,5000
Toyota,Yaris,Blanc,Citadine,286,1,175000,Essence,100,Manuelle,3350000,11,15909
Seat,Arona,Noir,SUV,400,1,68000,Essence,110,Automatique,4300000,7,9714
Opel,Insignia,Rouge,Berline,490,1,108000,Diesel,160,Automatique,3600000,11,9818
Ford,Puma,Blanc,SUV,456,1,27000,Essence,125,Manuelle,4550000,3,9000
Geely,Coolray,Argent,SUV,420,1,23000,Essence,177,Automatique,5450000,2,11500
Fiat,500,Vert,Citadine,185,1,20000,Essence,70,Manuelle,260000,9,2222
Suzuki,Celerio,Blanc,Citadine,254,1,120000,Essence,68,Automatique,1950000,13,9230
Chevrolet,Spark,Rouge,Citadine,170,1,295000,Essence,68,Manuelle,1450000,13,22692
Mitsubishi,L200,Gris,Pickup,1100,1,142000,Diesel,150,Automatique,5400000,5,28400
Citroen,C5 Aircross,Noir,SUV,550,1,5000,Essence,180,Automatique,5950000,1,5000
